event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
260308929,true,1994-04-23 22:00:00.000,14.3283729785,45.8891418685,"aa","capture","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",447890.6390675263,5081949.805105443,"33N"
260308930,true,1994-04-24 16:40:00.000,14.3717452361,45.8707180244,"ia","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451239.63396508445,5079875.427659897,"33N"
260308931,true,1994-04-25 14:45:00.000,14.3985172069,45.8665880979,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453314.01139795803,5079400.570176534,"33N"
260308932,true,1994-04-26 12:30:00.000,14.4121482528,45.8869491947,"nm","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454388.6888682064,5081654.893606706,"33N"
260308933,true,1994-04-28 12:00:00.000,14.4125988361,45.87475943,"ia","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454413.68137135165,5080300.300150815,"33N"
260308934,true,1994-04-29 09:30:00.000,14.4047117592,45.8895650575,"ia","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453813.861387702,5081949.805099328,"33N"
260308935,true,1994-05-01 11:30:00.000,14.4115092917,45.8864510248,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454338.70386965823,5081599.910112216,"33N"
260308936,true,1994-05-07 17:00:00.000,14.5140544398,45.83632009,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",462261.3261347097,5075976.597785339,"33N"
260308937,true,1994-05-12 12:00:00.000,14.3762808762,45.8682684589,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451589.52895040053,5079600.510168778,"33N"
260308938,true,1994-05-13 19:00:00.000,14.3908708866,45.8591243455,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452714.1914188992,5078575.817703769,"33N"
260308939,true,1994-05-16 13:00:00.000,14.3007997542,45.9044977285,"ia","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",445766.27663131437,5083674.287549567,"33N"
260308940,true,1994-05-18 09:00:00.000,14.2817647509,45.9313730575,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",444316.7116681733,5086673.387456218,"33N"
260308941,true,1994-05-21 16:30:00.000,14.2948921577,45.9130093467,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",445316.4116425811,5084624.002517732,"33N"
260308942,true,1994-05-24 14:00:00.000,14.4033059197,45.8704372978,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453688.8988904193,5079825.442665482,"33N"
260308943,true,1994-05-29 09:30:00.000,14.4078854526,45.8697862803,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454043.7923759387,5079750.465170845,"33N"
260308944,true,1994-06-03 14:30:00.000,14.3466500911,45.8413341539,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",449265.2265228135,5076626.402763743,"33N"
260308945,true,1994-06-05 14:45:00.000,14.3494120156,45.8804906939,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",449515.15151450544,5080975.097630225,"33N"
260308946,true,1994-06-08 17:30:00.000,14.4132073694,45.8781367516,"aa","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454463.66636318824,5080675.187644508,"33N"
260308947,true,1994-06-10 13:30:00.000,14.3781709671,45.9008959383,"aa","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451764.47644894896,5083224.422561321,"33N"
260308948,true,1994-06-13 15:40:00.000,14.3475287955,45.848762447,"aa","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",449340.2040203595,5077451.15524074,"33N"
260308949,true,1994-06-16 19:30:00.000,14.388014229,45.8260417717,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452464.2664251781,5074901.920318261,"33N"
260308950,true,1994-06-18 18:00:00.000,14.2806992478,45.9140456135,"nm","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",444216.7416773954,5084748.965018858,"33N"
260308951,true,1994-06-19 16:30:00.000,14.2811142547,45.9318188559,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",444266.7266754904,5086723.372460795,"33N"
260308952,true,1994-06-20 18:00:00.000,14.2823746225,45.9340762208,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",444366.69667076995,5086973.29744924,"33N"
260308953,true,1994-06-21 12:20:00.000,14.36342563,45.8942913255,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",450614.82148522703,5082499.640086851,"33N"
260308954,true,1994-06-22 19:30:00.000,14.2953937049,45.8988408843,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",445341.4041404118,5083049.47506476,"33N"
260308955,true,1994-06-23 12:40:00.000,14.3442545972,45.8534675991,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",449090.2790261477,5077975.9977220455,"33N"
260308956,true,1994-06-25 13:30:00.000,14.3475314255,45.8485375145,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",449340.2040191556,5077426.162739193,"33N"
260308957,true,1994-06-29 14:45:00.000,14.3945973447,45.8717411697,"aa","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453014.1014112479,5079975.397657237,"33N"
260308958,true,1994-06-30 13:30:00.000,14.4010374407,45.8717751088,"aa","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453513.951395496,5079975.397664324,"33N"
260308959,true,1994-07-05 16:00:00.000,14.3722596592,45.8536248843,"nm","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451264.6264653461,5077975.997717175,"33N"
260308960,true,1994-07-06 14:15:00.000,14.3729472162,45.8783728062,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451339.60396076075,5080725.172636167,"33N"
260308961,true,1994-07-09 13:00:00.000,14.3719582838,45.8803918915,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451264.62645990326,5080950.105132558,"33N"
